"","provincia_iso","fecha","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_otras","num_casos_prueba_desconocida","Comunidad.autónoma"
"190","A","2020-06-24",1,1,0,0,0,"VC"
"191","A","2020-07-19",22,22,0,0,0,"VC"
"192","A","2020-07-06",4,4,0,0,0,"VC"
"193","A","2020-07-26",55,55,0,0,0,"VC"
"194","A","2020-08-02",63,63,0,0,0,"VC"
"195","A","2020-07-12",6,6,0,0,0,"VC"
"196","A","2020-04-26",16,4,12,0,0,"VC"
"197","A","2020-05-31",0,0,0,0,0,"VC"
"198","A","2020-05-10",3,3,0,0,0,"VC"
"199","A","2020-02-26",3,3,0,0,0,"VC"
"200","A","2020-05-22",8,8,0,0,0,"VC"
"201","A","2020-05-21",3,3,0,0,0,"VC"
"202","A","2020-06-25",2,2,0,0,0,"VC"
"203","A","2020-07-20",32,32,0,0,0,"VC"
"204","A","2020-03-30",73,64,8,0,1,"VC"
"205","A","2020-09-12",113,113,0,0,0,"VC"
"206","A","2020-08-03",70,70,0,0,0,"VC"
"207","A","2020-05-18",3,3,0,0,0,"VC"
"208","A","2020-07-10",4,4,0,0,0,"VC"
"209","A","2020-08-01",72,72,0,0,0,"VC"
"210","A","2020-08-28",177,177,0,0,0,"VC"
"211","A","2020-02-27",4,4,0,0,0,"VC"
"212","A","2020-08-25",189,189,0,0,0,"VC"
"213","A","2020-03-26",117,109,8,0,0,"VC"
"214","A","2020-06-26",1,1,0,0,0,"VC"
"215","A","2020-06-05",1,1,0,0,0,"VC"
"216","A","2020-06-20",1,1,0,0,0,"VC"
"217","A","2020-08-05",91,91,0,0,0,"VC"
"218","A","2020-07-07",4,4,0,0,0,"VC"
"219","A","2020-05-19",4,4,0,0,0,"VC"
"220","A","2020-03-24",121,112,8,0,1,"VC"
"221","A","2020-09-16",93,93,0,0,0,"VC"
"222","A","2020-05-23",1,1,0,0,0,"VC"
"223","A","2020-03-27",119,100,15,0,4,"VC"
"224","A","2020-08-04",77,77,0,0,0,"VC"
"225","A","2020-07-15",22,22,0,0,0,"VC"
"226","A","2020-08-06",75,75,0,0,0,"VC"
"227","A","2020-03-25",135,114,17,0,4,"VC"
"228","A","2020-06-21",3,3,0,0,0,"VC"
"229","A","2020-09-17",70,70,0,0,0,"VC"
"230","A","2020-08-27",148,148,0,0,0,"VC"
"231","A","2020-05-24",0,0,0,0,0,"VC"
"232","A","2020-03-12",137,123,13,0,1,"VC"
"233","A","2020-03-11",120,106,12,0,2,"VC"
"234","A","2020-07-21",45,45,0,0,0,"VC"
"235","A","2020-07-16",16,16,0,0,0,"VC"
"236","A","2020-08-07",81,81,0,0,0,"VC"
"237","A","2020-07-17",36,36,0,0,0,"VC"
"238","AB","2020-05-19",1,1,0,0,0,"CM"
"239","AB","2020-04-22",50,5,1,0,44,"CM"
"240","AB","2020-04-20",41,14,1,0,26,"CM"
"241","AB","2020-05-20",4,4,0,0,0,"CM"
"242","AB","2020-05-18",2,2,0,0,0,"CM"
"243","AB","2020-04-08",137,13,5,0,119,"CM"
"244","AB","2020-04-21",69,6,1,0,62,"CM"
"245","AB","2020-04-15",35,9,4,0,22,"CM"
"246","AB","2020-02-01",0,0,0,0,0,"CM"
"247","AB","2020-04-18",35,4,2,0,29,"CM"
"248","AB","2020-05-09",2,2,0,0,0,"CM"
"249","AB","2020-04-13",74,18,4,0,52,"CM"
"250","AB","2020-02-02",0,0,0,0,0,"CM"
"251","AB","2020-04-23",32,2,0,0,30,"CM"
"252","AB","2020-07-06",0,0,0,0,0,"CM"
"253","AB","2020-07-11",1,1,0,0,0,"CM"
"254","AB","2020-07-13",2,2,0,0,0,"CM"
"255","AB","2020-05-07",0,0,0,0,0,"CM"
"256","AB","2020-04-11",32,7,1,0,24,"CM"
